Food Item,Dining Location,Cost,Calories,Nuts,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Apple Fritter Donut,Tim Hortons,1.69,330.0,,N,N,Y,Y,N,"Apple Fritter Donut: Enriched wheat flour, Water, Apples (apples, citric acid, calcium chloride, salt), Palm oil shortening (palm oil and/or modified palm oil), Sugars (sugar, dextrose), Yeast, Soybean oil, Whey powder (milk), Cinnamon, Salt, Sodium acid pyrophosphate, Sodium bicarbonate, Mono- and diglycerides, Sodium stearoyl-2-lactylate, Guar gum, Wheat starch, Natural flavour, Ascorbic acid, L-cysteine hydrochloride, Amylase, Xylanase, Sunflower oil. Donut Glaze: Sugar, Water, Rowanberry fruit extract, Guar gum, Tapioca flour, Modified potato starch, Citric acid (ph control), Agar, Xanthan gum.",N,N,Y,N,N,Y,N,Y,,9/25/2025,Donut
Apple Tart a la Mode,Riverbank Social,8.0,,,N,N,Y,Y,N,Served with Caramel sauce,Y,N,Y,N,N,N,N,Y,,1/13/2026,Tart
Aromatic Basmati Rice,Teraanga Commons Dining Hall,,120.0,,T,T,F,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Rice
Asian Noodle Salad (1000 gram),Teraanga Commons Dining Hall,,,,F,F,F,T,N,"rice noodles, snow peas, broccoli, cucumber, carrot, onion, sesame seeds, spicy asian vinaigrette",,,,N,,,N,Y,,10/6/2025,Pasta Salad
Asian Tofu (59 millilitre),Teraanga Commons Dining Hall,,45.0,,T,F,F,T,Y,,N,,N,N,,Y,N,N,N,10/6/2025,Tofu
B.L.T Snackwich,Subway,4.0,400.0,,N,N,,N,Y,,N,N,N,N,N,N,N,Y,,10/1/2025,Sandwich
B.L.T.,Rooster's,7.99,,,N,N,N,N,Y,"Classic bacon, lettuce and tomato served on your choice of toasted bread or bagel.",N,N,N,N,N,N,N,Y,,10/30/2025,Sandwich
BBQ Chicken Pizza,Mike's Place,9.99,,,N,N,Y,N,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Pizza
BBQ Tofu Pizza,Teraanga Commons Dining Hall,,190.0,,F,F,F,T,N,"tofu, red onion, cilantro, BBQ tomato base, mozzarella",,N,Y,N,,Y,N,Y,,10/6/2025,Pizza
BYO Box,Basil Box,14.75,,,,,,,,"Choose your base, your veggies, your protein, your sauce and your box toppings",,,,,,,,,,3/24/2026,Rice Bowl
Baby Kale,Teraanga Commons Dining Hall,,5.0,,T,T,F,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Kale
Backed Mac & Cheese,Colonel by Chicken,4.5,,,N,N,Y,Y,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Macaroni And Cheese
Bacon,Riverbank Social,2.99,,,N,Y,N,N,Y,2 slices,N,N,N,N,N,N,N,N,N,1/13/2026,Bacon
Bacon,Rodney's Kitchen,2.5,70.0,,N,Y,N,N,Y,,N,N,N,N,N,N,N,N,N,1/13/2026,Bacon
Bacon & Cheese Omelette Bites,Tim Hortons,3.99,210.0,,N,N,,N,N,"Whole Egg | Water | Cheddar Cheese (Pasteurized Milk, Bacterial Culture, Salt, Calcium Chloride, Microbial Enzymes, Natural Color [Annatto]) | Bacon (Pork, Water, Salt, Sugar, Brown Sugar, Sodium Phosphate, Potassium Chloride, Flavor, Sodium Erythorbate, Sodium Nitrite, Spices, Smoke) | Cornstarch | Milk Ingredients | Soybean Oil | Natural Flavors | Salt | Sodium Bicarbonate | Xanthan Gum | Citric Acid",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Omelette
Bacon & Egg Wrap,Bridgehead,6.95,,,N,N,,N,,,Y,N,,,N,N,,Y,,9/24/2025,Wrap
Bacon & GruyÃ¨re Egg Bites,Starbucks,320.0,320.0,,N,N,,N,N,,Y,N,Y,N,N,N,N,N,N,1/15/2026,Omelette
Bacon Breakfast Sandwich,Tim Hortons,4.49,330.0,,N,N,,N,N,"English Muffin: Enriched flour, Water, Yeast, Sugars (sugar, barley malt), Degermed corn meal, Vegetable oil (canola or soybean oil), Salt, Cultured wheat flour, Dough conditioners (DATEM, monocalcium phosphate, ascorbic acid, enzymes), Corn starch. Butter: Cream (milk), Salt. May contain annatto. Egg: Canada Grade A large egg. Cooking Spray: Canola oil, Coconut oil, Modified palm oil, Soy lecithin, Natural flavour, Dimethyl silicone, Propellants (isobutane, propane). Processed Cheese: Cheese (milk, modified milk ingredients, cream, bacterial culture, salt, microbial enzyme, calcium chloride, annatto, lipase), Modified milk ingredients, Water, Sugars (glucose), Sodium citrate and/or sodium phosphate, Skim milk powder, Salt, Acetic acid, Cultured skim milk powder, Soy lecithin, Soybean oil (for slice separation), Annatto and paprika oleoresin (paprika extract, sunflower oil), Nisin, Carboxymethylcellulose, Citric acid. Bacon: Pork, Water, Salt, Sugar, Smoke flavouring, Sodium phosphates, Sodium erythorbate, Sodium nitrite.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Sandwich
Bacon Cheeseburger,Oasis,10.8,570.0,,N,N,N,N,N,Can upgrade burger to Lightlife patty for Vegan,,N,Y,N,,N,N,Y,,1/15/2026,Hamburger
Bacon Cheeseburger,Rodney's Kitchen,11.5,650.0,,N,N,N,N,N,,,N,Y,N,N,N,N,Y,,1/13/2026,Hamburger
Bacon Cheeseburger Pizza,Teraanga Commons Dining Hall,,210.0,,F,F,F,F,N,"ground beef, bacon, red onion, mozzarella, 3 cheese blend",,N,Y,N,,,N,Y,,10/6/2025,Pizza
Bacon Classic Bagel,Tim Hortons,5.29,495.0,,N,N,,N,N,"Plain Bagel: Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid) | Water | Sugar | Rye Flour | Salt | Vegetable Oil (Canola Oil or Soybean Oil) | Yeast | Cornmeal | Calcium Propionate (preservative) | Malted Barley Flour | L-Cysteine Egg: Grade A Large Egg Cooking Spray: Canola Oil | Capric/Caprylic Triglycerides | Phosphated Mono- and Diglycerides | Silicon Dioxide | Calcium Stearate | Natural Flavors | Beta Carotene | Propellant Processed American Cheese: Milk | Cream | Water | Sodium Citrate | Salt | Contains 2% or less of: Cheese Culture | Citric Acid | Color Added | Enzymes | Milk Fat | Sorbic Acid (preservative) | Soy Lecithin Bacon: Pork | Water | Salt | Sugar | Smoke Flavoring | Sodium Phosphates | Sodium Erythorbate | Sodium Nitrite",Y,N,Y,N,N,Y,N,Y,N,9/25/2025,Bagel
Bacon Farmer's Wrap,Tim Hortons,5.49,520.0,,N,N,,N,N,"Wheat, Egg, Milk, Soy May contain: Tree nuts (coconut)",Y,N,Y,N,N,Y,,Y,,9/25/2025,Wrap
Bacon Pita,Rooster's,11.99,,,N,N,N,N,Y,A generous porion of bacon in a pita with your choice of toppings.,N,N,N,N,N,N,N,Y,,10/30/2025,Pita with protein
Bacon Scrambled Egg Loaded,Tim Hortons,5.29,530.0,,N,N,,N,N,"Contains: Milk, Soy & Egg",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Omelette
"Bacon, Egg & Cheese Bagel",Bridgehead,7.75,,,N,N,,N,,,Y,N,,,N,N,,Y,,9/24/2025,Bagel with Protein
"Bacon, Gouda, & Egg Sandwich",Starbucks,5.05,360.0,,N,N,,N,N,,N,N,N,N,N,N,N,Y,,1/15/2026,Sandwich
"Bacon, Sausage & Egg Wrap",Starbucks,640.0,640.0,,N,N,,N,N,,N,N,N,N,N,N,N,Y,,1/15/2026,Wrap
"Bacon-Style Turkey, Cheddar & Egg Sandwich",Starbucks,5.65,230.0,,N,N,,N,N,,N,N,N,N,N,N,N,Y,,1/15/2026,Sandwich
Bagel,Rooster's,3.19,,,Y,N,Y,Y,Y,Your choice of toasted bagel.,N,N,N,N,,N,N,Y,N,10/30/2025,Bagel
Bagel BELT,Tim Hortons,5.49,490.0,,N,N,,N,N,"Choice of Bagel. Butter: Cream (milk), Salt. May contain annatto. Egg: Canada Grade A large egg. Cooking Spray: Canola oil, Coconut oil, Modified palm oil, Soy lecithin, Natural flavour, Dimethyl silicone, Propellants (isobutane, propane). Processed Cheese: Cheese (milk, modified milk ingredients, cream, bacterial culture, salt, microbial enzyme, calcium chloride, annatto, lipase), Modified milk ingredients, Water, Sugars (glucose), Sodium citrate and/or sodium phosphate, Skim milk powder, Salt, Acetic acid, Cultured skim milk powder, Soy lecithin, Soybean oil (for slice separation), Annatto and paprika oleoresin (paprika extract, sunflower oil), Nisin, Carboxymethylcellulose, Citric acid. Bacon: Pork, Water, Salt, Sugar, Smoke flavouring, Sodium phosphates, Sodium erythorbate, Sodium nitrite.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Bagel with Protein
Bagel with Cream Cheese,Rooster's,4.88,,,N,N,N,Y,N,,N,N,Y,N,,N,N,Y,N,1/13/2026,Bagel
Bagelwich,Rooster's,6.99,,,N,N,Y,Y,N,"Toasted Bagel with egg, cheese and your choice of two toppings.",Y,N,Y,N,Y,N,N,Y,,10/30/2025,Sandwich
Baked Apple Croissant,Starbucks,4.45,250.0,,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Croissant
Baked Chicken Thighs,Teraanga Commons Dining Hall,,,,F,T,F,F,Y,,N,N,,N,,,N,N,N,10/6/2025,Chicken
Baked Falafel,Urban Deli,8.9,,,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,,9/26/2025,Falafel
Balsamic Glaze,Teraanga Commons Dining Hall,,35.0,,T,T,F,T,Y,,N,N,N,N,N,,N,N,,10/6/2025,Sauce
Banana Chocolate Muffin,Bridgehead,3.95,,,Y,Y,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Muffin
Banana Loaf,Starbucks,4.45,360.0,,N,N,Y,Y,Y,,Y,N,N,N,N,Y,N,Y,,1/15/2026,Loaf
Banana Parfait,Bridgehead,6.45,,,N,N,Y,Y,N,,N,N,Y,,N,N,,Y,,9/24/2025,Parfait
