Food Item,Dining Location,Cost,Calories,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
WOW Butter Chocolate Fudge,Teraanga Commons Dining Hall,,300,T,T,T,T,Y,,N,N,,N,,,N,N,,10/6/2025,Brownie
3 Sisters Burrito,La Cocina,10.15,680,Y,N,Y,Y,N,"black beans, roasted squash, cron, salsa, jalapeno and guacamole",N,N,Y,N,N,,N,Y,,1/15/2026,Burrito
Chicken Burrito,Bridgehead,12.45,,N,N,,N,,,,N,,,N,N,,Y,,9/24/2025,Burrito
Chicken Tinga Burrito,La Cocina,10.6,700,N,N,Y,N,N,"halal chicken, refried beans, pico de gallo, salsa roja, monterey jack cheese and sour cream",N,N,Y,N,N,,N,Y,,1/15/2026,Burrito
Classic Beef Burrito,La Cocina,10.35,740,N,N,Y,N,N,"halal beef, black beans, pico de gallo, corn salsa, monterey jack cheese, sour cream",N,N,Y,N,N,,N,Y,,1/15/2026,Burrito
Veggie Burrito,Bridgehead,10.95,,N,N,Y,Y,,,N,Y,,,N,N,,Y,,9/24/2025,Burrito
Black Forest Cake,Teraanga Commons Dining Hall,,190,F,F,F,F,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cake
Caramel Coffee Cake,Teraanga Commons Dining Hall,,300,F,F,F,F,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cake
Carrot Cake,CT-Pastry,5.9,450,N,N,Y,Y,N,,Y,N,Y,N,N,,N,Y,,9/26/2025,Cake
Carrot Cake,Bridgehead,5.75,,N,N,Y,Y,N,,Y,N,Y,,N,N,Y,Y,,9/24/2025,Cake
Cinnamon Coffee Cake,Starbucks,3.95,330,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Cake
Key Lime Cheesecake,CT-Pastry,5.9,450,N,N,Y,Y,N,,Y,N,Y,N,N,,N,Y,,9/26/2025,Cake
Lemon Buttermilk Cake,Teraanga Commons Dining Hall,,140,F,F,F,F,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cake
Orange Cremcicle Cake,Teraanga Commons Dining Hall,,310,F,F,F,F,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Cake
Vegan Marble Cake,Teraanga Commons Dining Hall,,210,T,T,T,T,Y,,N,N,N,N,,,N,Y,,10/6/2025,Cake
Vegan No Gluten Chocolate Cake,Teraanga Commons Dining Hall,,150,T,T,T,T,Y,,N,N,N,N,,,N,N,,10/6/2025,Cake
Birthday Cake Pop,Starbucks,3.45,170,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cake Pop
Chocalate Cake Pop,Starbucks,3.45,160,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cake Pop
Cookies & Cream Cake Pop,Starbucks,3.45,160,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cake Pop
Strawberry Cake Pop,Starbucks,3.45,160,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Cake Pop
Air Heads,Leo's Lounge,0.5,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,,,9/26/2025,Candy
Candy Bar,Leo's Lounge,2,,N,,Y,Y,N,,,N,Y,,N,Y,,N,,9/26/2025,Candy
Carrot (1000 gram),Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Carrot
Curried Carrots,Teraanga Commons Dining Hall,,80,T,T,T,T,,,N,N,,N,,,N,N,N,10/6/2025,Carrot
Cauliflower Bites,Ollies,9.5,,N,N,N,Y,N,,N,N,Y,N,N,N,N,N,N,1/14/2026,Cauliflower
Cheese Slice,Rodney's Kitchen,1.75,60,N,Y,Y,Y,N,,N,N,Y,N,N,N,N,N,N,1/13/2026,Cheese
Cheesesticks,Mike's Place,7.99,,N,N,Y,Y,N,6. Served with a side of marinara sauce,,N,Y,N,N,N,,Y,N,10/1/2025,Cheese
Cream Cheese,Riverbank Social,2,,N,Y,Y,Y,N,,N,N,Y,N,N,N,N,N,N,1/13/2026,Cheese
Mozza Sticks,Ollies,8.5,,N,N,T,Y,N,,N,N,Y,N,N,N,N,Y,N,1/14/2026,Cheese
Parmesan Cheese,Teraanga Commons Dining Hall,,10,F,T,F,F,N,,N,N,Y,N,N,N,N,N,N,10/6/2025,Cheese
Baked Chicken Thighs,Teraanga Commons Dining Hall,,,F,T,F,F,Y,,N,N,,N,,,N,N,N,10/6/2025,Chicken
Cajun Chicken Thigh,Teraanga Commons Dining Hall,,210,F,F,F,F,Y,,N,N,,N,,,N,N,N,10/6/2025,Chicken
Donburi Chicken,Bento Boxes,12,599,N,N,N,N,Y,"Chicken with cabbage, carrots and onions over white rice topped with teriyaki sauce and sesame seeds",N,N,N,N,Y,Y,N,N,N,1/14/2025,Chicken
Five Spice Chicken (90 millilitre),Teraanga Commons Dining Hall,,180,F,T,F,F,Y,,N,N,N,N,N,N,N,,N,10/6/2025,Chicken
Grilled Grain-Fed Chicken,Riverbank Social,10,,N,Y,Y,N,Y,,N,N,N,N,N,N,N,N,N,1/13/2026,Chicken
Herb Roasted Chicken,Teraanga Commons Dining Hall,,170,F,T,F,F,Y,,N,N,,N,N,,N,N,N,10/6/2025,Chicken
Mandarin Chicken Salad,Mike's Place,9.99,,N,N,N,N,Y,"Mixed salad greens, mandarin oranges, sliced almonds and croutons",N,N,N,N,,,Y,Y,N,10/1/2025,Chicken
Sweet Onion Chicken Teriyaki,Subway,13.66,510,N,N,,N,Y,,N,N,N,N,Y,Y,N,N,N,10/1/2025,Chicken
3 Piece Chicken Strips,Colonel by Chicken,7.75,,N,N,Y,N,Y,Three of our delicious chicken wings plus dipping sauce on the side!,N,N,N,N,N,N,N,Y,,1/14/2026,Chicken Strips
Chicken Fingers,Oasis,11.5,980,N,N,N,N,N,,,N,N,N,N,N,N,Y,,1/15/2026,Chicken Strips
Chicken Tenders with Dip,Mike's Place,17.99,,N,N,Y,N,Y,"Dip choices are ranch, honey mustard, plum, buffalo or BBQ",,N,N,N,N,N,,N,,10/1/2025,Chicken Strips
