Food Item,Dining Location,Cost,Calories,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Double Chocolate Muffin,Tunnel Junction,3.3,330,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Muffin
Fruit Explosion Muffin,Tim Hortons,2.59,360,N,N,Y,Y,N,"Enriched wheat flour, Sugars (sugar, corn syrup solids), Water, Raspberry filling (sugars [sugar, glucose, dried glucose syrup], water, raspberries, modified corn starch, purple carrot juice concentrate [colour], lemon juice concentrate, citric acid [pH control], fruit extract [flavour], tapioca flour, natural flavour, salt, xanthan gum, locust bean gum), Soybean and/or canola oils, Liquid whole eggs, Diced apples (apples, citric acid, calcium chloride, salt), Blueberries, Cranberries, Raspberries, Sweetened dried cranberries (cranberries, sugar, sunflower oil), Sodium acid pyrophosphate, Salt, Sodium bicarbonate, Modified corn starch, Natural flavour, Monocalcium phosphate, Monoglycerides, Guar gum, Xanthan gum, Whey powder (milk), Amylase.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Muffin
Lemon Poppyseed Cheesecake Muffin,Tim Hortons,2.59,370,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten, Egg May Contain: Tree Nuts, Soy",N,N,Y,N,N,,,Y,,9/25/2025,Muffin
Muffin,Leo's Lounge,1.5,,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,9/26/2025,Muffin
Pumpkin Cream Cheese Muffin,Starbucks,3.95,350,N,N,Y,Y,N,,Y,N,Y,N,N,Y,Y,Y,,1/15/2026,Muffin
Pumpkin Muffin,Bridgehead,3.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Muffin
Triple Berry Muffin,Bridgehead,3.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Muffin
Wild Blueberry Muffin,Tim Hortons,2.29,380,N,N,Y,Y,N,"Enriched wheat flour | Sugars (sugar, corn syrup solids) | Water | Wild blueberries | Soybean and/or canola oils | Liquid whole eggs | Buttermilk powder (milk) | Sodium acid pyrophosphate | Salt | Shortening (canola, modified palm and palm kernel oils) | Sodium bicarbonate | Modified corn starch | Natural flavour | Monoglycerides | Guar gum | Monocalcium phosphate | Xanthan gum | Amylase",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Muffin
Mushroom,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Mushroom
Blackbean Nachos,Mike's Place,8.99,,N,Y,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Nachos
Nacho Chips & Salsa,Mike's Place,4.29,,N,N,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Nachos
Nachos,Oasis,13,470,N,N,N,Y,N,,N,N,Y,N,N,N,N,Y,,1/15/2026,Nachos
Vegetable Nachos,Mike's Place,19.99,,N,Y,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Nachos
Chicken Nachos,Mike's Place,19.99,,N,Y,Y,N,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Nachos with Protein
Loaded Nachos,Ollies,18,,N,N,N,N,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Nachos with Protein
Nachos with Beef,Oasis,15.75,650,N,N,Y,N,N,,N,N,Y,N,N,N,N,Y,,1/15/2026,Nachos with Protein
Nachos with Chicken,Oasis,15.75,650,N,N,Y,N,N,,N,N,Y,N,N,N,N,Y,,1/15/2026,Nachos with Protein
Hoisin Chow Mein Salad (59 millilitre),Teraanga Commons Dining Hall,,40,F,F,T,T,N,"chow mein noodles,Â napa cabbage,Â cucumber,Â carrot, daikon radish, red peppers, green onion,Â sesame seeds, hoisin ginger vinaigrette",,Y,,N,,Y,N,Y,,10/6/2025,Noodles
Rice Noodles,Teraanga Commons Dining Hall,,70,T,T,T,T,Y,,N,N,N,N,N,,N,N,,10/6/2025,Noodles
Spicy Chicken Noodle Bowl,Teraanga Commons Dining Hall,,160,F,F,F,F,,"gochujang chicken, spicy cucumber, green onion, sesame seeds, kimchi, udon noodles",N,,,N,,,N,,,10/6/2025,Noodles
Thai Tofu Stir Fry,Teraanga Commons Dining Hall,,170,T,T,T,T,Y,"tofu, onion, carrot, snow peas, green pepper, cabbage, sweet and spicy sauce, soy sauce, green onion",N,,N,N,,Y,N,,,10/6/2025,Noodles
Butter Oats,Bridgehead,6.45,,N,Y,Y,Y,N,,N,N,Y,,N,N,,Y,N,9/24/2025,Oatmeal
Mixed Berry Oat Bar,Teraanga Commons Dining Hall,,190,T,T,T,T,N,,,N,,N,N,,N,,N,10/6/2025,Oatmeal
Oat Bar,Starbucks,3.45,310,N,N,Y,Y,N,,N,N,Y,N,N,N,N,N,N,1/15/2026,Oatmeal
Oatmeal,Leo's Lounge,0.5,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,N,N,9/26/2025,Oatmeal
Rolled & Steel-Cut Oatmeal,Starbucks,3.95,250,N,N,Y,Y,Y,,N,N,N,N,N,N,N,N,N,1/15/2026,Oatmeal
Black Olives,Teraanga Commons Dining Hall,,25,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Olive
Bacon & Cheese Omelette Bites,Tim Hortons,3.99,210,N,N,,N,N,"Whole Egg | Water | Cheddar Cheese (Pasteurized Milk, Bacterial Culture, Salt, Calcium Chloride, Microbial Enzymes, Natural Color [Annatto]) | Bacon (Pork, Water, Salt, Sugar, Brown Sugar, Sodium Phosphate, Potassium Chloride, Flavor, Sodium Erythorbate, Sodium Nitrite, Spices, Smoke) | Cornstarch | Milk Ingredients | Soybean Oil | Natural Flavors | Salt | Sodium Bicarbonate | Xanthan Gum | Citric Acid",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Omelette
Bacon & GruyÃ¨re Egg Bites,Starbucks,320,320,N,N,,N,N,,Y,N,Y,N,N,N,N,N,N,1/15/2026,Omelette
Bacon Scrambled Egg Loaded,Tim Hortons,5.29,530,N,N,,N,N,"Contains: Milk, Soy & Egg",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Omelette
Egg White & Roasted Red Pepper Egg Bites,Starbucks,170,170,N,N,,N,N,,Y,N,Y,N,N,N,N,N,N,1/15/2026,Omelette
Omelette,Rooster's,8.39,,N,N,Y,Y,Y,"A two-egg omelette served with bread, bagel or hashbrown.",Y,N,,N,N,N,N,N,N,1/13/2026,Omelette
Omelette Bites,Tim Hortons,3.99,250,N,N,,N,N,"Spinach & Egg White Omelette Bites: Egg White | Cheddar Cheese (Pasteurized Milk, Bacterial Culture, Salt, Calcium Chloride, Microbial Enzymes) | Water | Spinach | Onions | Modified Corn Starch | Milk Ingredients | Soybean Oil | Modified Milk Ingredients | Salt | Xanthan Gum | Natural Flavor Bacon & Cheese Omelette Bites: Whole Egg | Water | Cheddar Cheese (Pasteurized Milk, Bacterial Culture, Salt, Calcium Chloride, Microbial Enzymes, Natural Color [Annatto]) | Bacon (Pork, Water, Salt, Sugar, Brown Sugar, Sodium Phosphate, Potassium Chloride, Flavor, Sodium Erythorbate, Sodium Nitrite, Spices, Smoke) | Cornstarch | Milk Ingredients | Soybean Oil | Natural Flavors | Salt | Sodium Bicarbonate | Xanthan Gum | Citric Acid",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Omelette
Spinach & Egg White Omellete Bites,Tim Hortons,3.99,130,N,Y,Y,Y,N,"Egg White | Cheddar Cheese (Pasteurized Milk, Bacterial Culture, Salt, Calcium Chloride, Microbial Enzymes) | Water | Spinach | Onions | Modified Corn Starch | Milk Ingredients | Soybean Oil | Modified Milk Ingredients | Salt | Xanthan Gum | Natural Flavor",Y,N,Y,N,N,Y,N,N,N,9/25/2025,Omelette
Green Onion,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Onion
Onion,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Onion
Red Onion,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Onion
Onion Rings,Teraanga Commons Dining Hall,,180,F,F,Y,Y,Y,,,N,,N,N,,N,Y,,10/6/2025,Onion Rings
Onion Rings,Ollies,7.5,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,Y,,1/14/2026,Onion Rings
Pad See-Ew,Thai Kitchen,16,,N,N,Y,Y,Y,,Y,,N,,,Y,,Y,,1/15/2026,Pad Thai
Pad Thai,Thai Kitchen,16,,N,N,Y,Y,Y,,Y,Y,N,Y,,,,Y,,1/15/2026,Pad Thai
4 Maple Mini Pancakes,Starbucks,2.75,120,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Pancake
Plain Pancake,Teraanga Commons Dining Hall,,150,F,F,Y,Y,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Pancake
Banana Parfait,Bridgehead,6.45,,N,N,Y,Y,N,,N,N,Y,,N,N,,Y,,9/24/2025,Parfait
Greek Yogurt & Chia Bowl,Riverbank Social,10.99,,N,Y,Y,Y,N,"Topped with house made granola, pumpkin seeds, berries and dried fruit",N,N,Y,,,N,,Y,,1/13/2026,Parfait
Yogurt & Berries Parfait,Tunnel Junction,5.7,310,N,N,Y,Y,N,,N,N,Y,N,N,N,N,N,,9/26/2025,Parfait
Yogurt Parfait,Bridgehead,6.75,,N,Y,Y,Y,N,,N,N,Y,,N,N,Y,Y,,9/24/2025,Parfait
Farfalle,Teraanga Commons Dining Hall,,200,T,F,T,T,Y,,,N,N,N,N,Y,N,,,10/6/2025,Pasta
Kale Squash Gnocchi,Teraanga Commons Dining Hall,,320,T,F,T,T,N,"butternut squash, kale, sage, gnocchi",,N,,N,N,,N,Y,,10/6/2025,Pasta
No Gluten Fusilli,Teraanga Commons Dining Hall,,210,T,T,T,T,Y,,,N,N,N,N,,N,N,,10/6/2025,Pasta
No Gluten Penne,Teraanga Commons Dining Hall,,160,T,T,T,T,Y,,,N,N,N,N,,N,N,,10/6/2025,Pasta
Rotini,Teraanga Commons Dining Hall,,200,T,F,T,T,,,,N,,N,,,N,Y,,10/6/2025,Pasta
Tomato Mozzarella Penne (1000 gram),Teraanga Commons Dining Hall,,,F,F,F,F,N,,,N,Y,N,,,N,,,10/6/2025,Pasta
Asian Noodle Salad (1000 gram),Teraanga Commons Dining Hall,,,F,F,T,T,N,"rice noodles,Â snow peas,Â broccoli,Â cucumber,Â carrot, onion, sesame seeds,Â spicy asianÂ vinaigrette",,,,N,,,N,Y,,10/6/2025,Pasta Salad
Chicken Bruschetta Penne Alfredo,Teraanga Commons Dining Hall,,230,F,F,F,F,N,"chicken breast, tomato, basil, parmesan, alfredo sauce, penne",,N,Y,N,N,,N,Y,,10/6/2025,Pasta Salad
Greek Pasta Salad,Tunnel Junction,5.7,790,N,N,Y,N,N,,N,N,Y,N,N,N,N,Y,,9/26/2025,Pasta Salad
Cheese Danish,Starbucks,3.65,310,N,N,Y,Y,N,,Y,N,Y,N,N,N,N,Y,,1/15/2026,Pastry
Herb & Garlic Savoury Pastry,Tim Hortons,2.99,240,N,N,Y,Y,N,"Garlic and fine herbs filling (water, cream cheese, bechamel cream [modified milk ingredients, modified corn starch, salt], chives, parsley, roasted garlic [garlic, citric acid], white vinegar, garlic, cultured skim milk [cultured skim milk, skim milk], salt, concentrated lemon juice), Unbleached enriched flour, Water, Butter, Yeast, Sugar, Liquid whole eggs, Salt, Wheat Gluten, Malted wheat flour, Malted barley extract, Food enzymes (xylanase, amylase), Ascorbic acid, Dried whole eggs, Skim milk powder, Soy flour.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Pastry
Pistachio Danish,Bridgehead,5.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,Y,Y,,9/24/2025,Pastry
Green Peas,Teraanga Commons Dining Hall,,50,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Peas
Green Pepper,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Pepper
Perogies,Ollies,7,,N,N,N,Y,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Perogies
Chicken Pho,Teraanga Commons Dining Hall,,410,F,F,F,F,Y,,N,N,N,N,N,,N,N,,10/6/2025,Pho
Veggie Pho (200 gram),Teraanga Commons Dining Hall,,130,T,T,T,T,Y,"tofu, onion, mushroom, pho vegetable broth, rice noodles, cilantro, green onion",N,,N,N,,Y,N,N,,10/6/2025,Pho
Dill Pickles,Teraanga Commons Dining Hall,,,T,T,T,T,Y,,N,N,N,N,N,N,N,N,,10/6/2025,Pickles
Naan,Leo's Lounge,4.25,270,N,N,Y,Y,N,,N,N,N,N,N,N,N,Y,,9/26/2025,Pita
Bacon Pita,Rooster's,11.99,,N,N,N,N,Y,A generous porion of bacon in a pita with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Black Forest Ham Pita,Rooster's,10.69,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Breakfast Pita,Rooster's,6.99,,N,N,Y,Y,N,A double serving of egg with cheese and your choice of two toppings all wrapped up in a pita.,Y,N,Y,N,N,N,N,Y,,1/13/2026,Pita With Protein
Ch. Souvlaki Pita,Rooster's,11.99,,N,N,N,N,Y,Diced thigh meat seasoned with a lemon and herb season grilled with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Chicken Club Pita,Rooster's,13.19,,N,N,N,N,Y,Our grilled chicken pita with bacon added.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Chicken Pita,Rooster's,10.69,,N,N,N,N,Y,Diced chicken breast grilled to perfection with you choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Chicken Shawarma Pita,Rooster's,11.99,,N,N,Y,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Chicken Souvlaki Pita,Rooster's,11.99,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Club Pita,Rooster's,12.99,,N,N,N,N,Y,"Turkey, Black Forest Ham and bacon wrapped with your choice of toppings.",N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Falafel Pita,Rooster's,9.99,,N,N,Y,Y,Y,A deliciously spiced falafel and served with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Gyro Pita,Rooster's,10.89,,N,N,N,N,Y,Greek style seasoned lamb and beef served with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Halal Chicken Pita,Rooster's,11.99,,N,N,Y,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Ham Pita,Rooster's,10.69,,N,N,N,N,Y,Thin sliced deli fresh black forest ham served hot or cold with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
M. Tofu Pita,Rooster's,9.99,,Y,N,Y,Y,N,Firm tofu grilled on our vegitarian grill with your choice of toppings.,N,N,N,N,N,Y,N,Y,,1/13/2026,Pita With Protein
Steak Fajita Pita,Rooster's,12.99,,N,N,N,N,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Steak Pita,Rooster's,12.99,,N,N,N,N,Y,Fajita style steak strips grilled with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Tandoori Chicken Stuffed Naan,Mike's Place,8.99,,N,N,Y,N,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Pita With Protein
Tofu Pita,Rooster's,9.99,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Tuna Pita,Rooster's,10.89,,N,N,N,N,Y,Light flaked tuna wrapped with your choice of toppings.,N,Y,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Turkey Pita,Rooster's,10.69,,N,N,N,N,Y,Deli style turkey breast served hot or cold with your choice of toppings.,N,N,N,N,N,N,N,Y,,1/13/2026,Pita With Protein
Veggie Patty Pita,Rooster's,10.99,,,N,Y,Y,Y,,N,N,N,N,N,Y,N,Y,,1/13/2026,Pita With Protein
Bacon Cheeseburger Pizza,Teraanga Commons Dining Hall,,210,F,F,F,F,N,"ground beef, bacon, red onion, mozzarella, 3 cheese blend",,N,Y,N,,,N,Y,,10/6/2025,Pizza
BBQ Chicken Pizza,Mike's Place,9.99,,N,N,Y,N,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Pizza
BBQ Tofu Pizza,Teraanga Commons Dining Hall,,190,F,F,T,T,N,"tofu, red onion, cilantro, BBQ tomato base, mozzarella",,N,Y,N,,Y,N,Y,,10/6/2025,Pizza
Buffalo Chicken Pizza,Teraanga Commons Dining Hall,,180,F,F,F,F,N,"spicy buffalo chicken, red onion, buffalo sauce, mozzarella, blue cheese",,N,Y,N,,,N,Y,,10/6/2025,Pizza
Canadian Pizza,Teraanga Commons Dining Hall,,190,F,F,F,F,N,"pepperoni, bacon, mushroom, mozzarella",,N,Y,N,,,N,Y,,10/6/2025,Pizza
Create Your Own Pizza,Oasis,16.2,1030,,,,,,,N,,,N,N,N,N,Y,,1/15/2026,Pizza
Daily Pizza,Riverbank Social,15,,,N,,,N,House made pizza dough topped with seasonal ingredients,N,,Y,N,N,N,N,Y,,1/13/2026,Pizza
Hawaiian Pizza,Teraanga Commons Dining Hall,,170,F,F,F,F,N,"ham, pineapple, mozzarella",,N,Y,N,,,N,Y,,10/6/2025,Pizza
Jalapeno Popper Pizza,Teraanga Commons Dining Hall,,190,F,F,F,F,N,"cream cheese, jalapeno peppers, red onions, monterey jack, bacon",,N,Y,N,,,N,Y,,10/6/2025,Pizza
Jalapeno Poppers,Ollies,8.5,,N,N,N,N,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza
JalepeÃ±o Chicken Pocket,Starbucks,5.25,200,N,N,N,N,N,,N,N,Y,N,N,Y,N,Y,,1/15/2026,Pizza
Jamaican Patty,Leo's Lounge,1.5,,N,,N,N,N,,,N,,N,N,N,N,Y,,9/26/2025,Pizza
Pepperoni Pizza,Teraanga Commons Dining Hall,,190,F,F,F,F,N,,,N,Y,N,,,N,Y,,10/6/2025,Pizza
Pepperoni Pizza Slice,The Market Pizzeria,5.2,570,N,N,N,N,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza
Pizza Pops,Leo's Lounge,2.25,,N,N,,N,N,,N,N,Y,N,N,Y,N,Y,,9/26/2025,Pizza
Whole BBQ Chicken Pizza,The Market Pizzeria,3460,,N,N,Y,N,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza
Whole Hawaiian Pizza,The Market Pizzeria,28,,N,N,,N,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza
Whole Pepperoni Pizza,The Market Pizzeria,28,3440,N,N,N,N,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza
Cheese Pizza,Teraanga Commons Dining Hall,,150,F,F,T,T,N,,,N,Y,N,,,N,Y,,10/6/2025,Pizza (Cheese)
Cheese Pizza Slice,The Market Pizzeria,5.2,450,N,N,Y,Y,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza (Cheese)
Five Cheese Pizza,Oasis,14,1320,N,N,N,Y,N,,N,N,Y,N,N,N,N,Y,,1/15/2026,Pizza (Cheese)
Whole Cheese Pizza,The Market Pizzeria,28,2720,N,N,Y,Y,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza (Cheese)
Grilled Eggplant Pizza,Teraanga Commons Dining Hall,,180,F,F,T,T,N,"grilled eggplant, black olives, basil, chili pepper flakes, mozzarella",,N,Y,N,,,N,Y,,10/6/2025,Pizza (Vegetarian)
Margherita Pizza,Teraanga Commons Dining Hall,,170,F,F,T,T,N,"tomato, fresh basil, mozzarella, ricotta",,N,Y,N,,,N,Y,,10/6/2025,Pizza (Vegetarian)
Margherita Pizza,Oasis,14,1520,N,N,N,Y,N,,N,N,Y,N,N,N,N,Y,,1/15/2026,Pizza (Vegetarian)
Mushroom & Caramelized Onion Pizza,Teraanga Commons Dining Hall,,200,F,F,F,F,N,"mushroom, caramelized onion, parsley, alfredo base, mozzarella, parmesan",,N,Y,N,,,N,Y,,10/6/2025,Pizza (Vegetarian)
Sweet Potato and Caramelized Onion Pizza,Teraanga Commons Dining Hall,,560,F,F,T,T,N,,,N,Y,N,,,N,,,10/6/2025,Pizza (Vegetarian)
Veggie Pizza Slice,The Market Pizzeria,570,470,N,N,Y,Y,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza (Vegetarian)
Whole Vegetarian Pizza,The Market Pizzeria,28,2800,N,N,Y,Y,N,,N,N,Y,N,N,N,N,Y,,1/14/2026,Pizza (Vegetarian)
Salmon Poke Bowl,Bento Boxes,15,710,N,Y,N,N,Y,"Salmon, cucumbers, shaved carrots, seaweed salad, crispy fried onions and spicy mayo sitting on a soft bed of rice",Y,Y,N,N,Y,Y,N,N,,1/14/2025,Poke Bowl
Spicy California Poke Bowl,Bento Boxes,15,740,N,Y,N,N,Y,"Iminitation crab, cucumbers, seaweed salad, edamame, crispy fried onions sitting on a bed of rice",N,Y,N,N,Y,Y,N,N,,1/14/2025,Poke Bowl
Tempura Shrimp Poke Bowl,Bento Boxes,15,720,N,N,N,N,Y,"Shrimp, cucumbers, shaved carrots, seaweed salad, edamame, crispy fried onions sitting on a bed of rice",Y,Y,N,N,Y,Y,N,N,,1/14/2025,Poke Bowl
Tofu Poke Bowl,Bento Boxes,15,660,Y,Y,Y,Y,Y,"Tofu, cucumber, carrot, seaweed salad, and edamame topped with teriyaki sauce and spicy mayo on a bed of rice",Y,Y,N,N,Y,Y,N,N,,1/14/2025,Poke Bowl
Tuna Poke Bowl,Bento Boxes,15,660,N,Y,N,N,Y,"Tuna, cucumbers seaweed salad, edamame, crispy fried onions sitting on a bed of rice",N,Y,N,N,Y,Y,N,N,,1/14/2025,Poke Bowl
Microwave Popcorn,Leo's Lounge,1,,Y,Y,Y,Y,N,,N,N,Y,N,N,,N,N,,9/26/2025,Popcorn
Chasu Pork Loin (1 slice),Teraanga Commons Dining Hall,,70,F,F,F,F,Y,,N,N,N,N,N,,N,N,N,10/6/2025,Pork
Pork Souvlaki,Teraanga Commons Dining Hall,,190,F,T,F,F,Y,,N,N,N,N,N,,N,N,N,10/6/2025,Pork
Garlic Potatoes,Shawarma Palace,7,,Y,Y,Y,Y,,,N,N,,N,,N,N,N,N,9/26/2025,Potato
Home Fried Potatoes,Teraanga Commons Dining Hall,,180,F,F,F,F,,,N,N,,N,N,,N,N,N,10/6/2025,Potato
Home Style Potatoes,Teraanga Commons Dining Hall,,90,F,F,F,F,,,N,N,,N,N,,N,N,N,10/6/2025,Potato
Parsley Potatoes,Teraanga Commons Dining Hall,,100,T,T,T,T,,,N,N,,N,N,,N,N,N,10/6/2025,Potato
"Potato, Cheddar & Chive Bakes",Starbucks,6.25,210,N,N,,N,N,,Y,N,Y,N,N,N,N,N,N,1/15/2026,Potato
Red Potatoes,Teraanga Commons Dining Hall,,120,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Potato
Red Potatoes & Onions,Teraanga Commons Dining Hall,,160,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Potato
Roasted Potatoes,Teraanga Commons Dining Hall,,130,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Potato
Buffalo Ranch Potato Salad (1000 gram),Teraanga Commons Dining Hall,,140,F,T,F,F,N,"red potatoes, red pepper, celery, green onion, buffalo ranch dressing",,N,Y,N,,,N,N,,10/6/2025,Potato Salad
Grainy Dijon Potato Salad (1000 gram),Teraanga Commons Dining Hall,,,T,T,T,T,,"mini red potatoes, mustard vinaigretteÂ",,N,,N,N,,N,N,,10/6/2025,Potato Salad
Potato Caesar Salad,Urban Deli,4.8,420,N,N,N,N,N,,Y,N,Y,N,N,N,N,Y,,9/26/2025,Potato Salad
Classic Poutine,Rodney's Kitchen,9.6,1500,N,N,N,N,N,,N,N,Y,N,N,N,N,N,,1/13/2026,Poutine
Poutine,Teraanga Commons Dining Hall,,370,F,F,F,F,N,"cheddar cheese curds, french fries, gravy",N,N,Y,N,N,,N,N,,10/6/2025,Poutine
Poutine,Oasis,8.9,1040,N,N,N,Y,N,,N,N,Y,N,N,N,N,N,,1/15/2026,Poutine
Poutine,Burger 101,9.6,1400,N,N,Y,Y,N,"Our crispy fries topped with cheese curds, mushroom gravy and onion rings",N,N,Y,N,N,N,N,N,,1/14/2026,Poutine
Poutine,Mike's Place,8.99,,N,N,Y,Y,Y,,N,N,Y,N,N,N,,N,,10/1/2025,Poutine
Poutine,Ollies,8.5,,N,N,Y,Y,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Poutine
Vegetarian Poutine,Burger 101,9.6,,,N,Y,Y,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Poutine
Butter Chicken Poutine,Burger 101,11.9,,N,N,,N,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Poutine With Protein
Chipotle Pulled Pork Poutine,Burger 101,11.9,,N,N,,N,N,,N,N,Y,N,N,N,N,N,,1/14/2026,Poutine With Protein
Poutine with Bacon,Oasis,11.65,1220,N,N,N,N,N,,N,N,Y,N,N,N,N,N,,1/15/2026,Poutine With Protein
Poutine with Beef,Oasis,11.65,1220,N,N,N,N,N,,N,N,Y,N,N,N,N,N,,1/15/2026,Poutine With Protein
Poutine with Chicken,Oasis,11.65,1220,N,N,N,N,N,,N,N,Y,N,N,N,N,N,,1/15/2026,Poutine With Protein
Pretzel,Mike's Place,5.99,,N,N,Y,Y,Y,,,N,N,N,,N,,Y,,10/1/2025,Pretzel
Beef Quesadilla,Teraanga Commons Dining Hall,,280,F,F,F,F,N,"taco-spiced ground beef, cheddar cheese, tortilla",,N,Y,N,N,,N,Y,,10/6/2025,Quesadilla
Big Bean Quesadilla,La Cocina,9.8,800,N,N,Y,Y,N,"marinated black beans, refried beans, pico de gallo monterey jack cheese and sour cream on the side",N,N,Y,N,N,,N,Y,,1/15/2026,Quesadilla
Black Bean Quesadillia,Mike's Place,9.99,,N,N,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Quesadilla
Chicken Mini Quesadilla,La Cocina,7.5,400,N,N,Y,N,N,"Two quesadillas. Halal chicken tinga, marinated black beans, monterey jack cheese and sour cream on the side",N,N,Y,N,N,,N,Y,,1/15/2026,Quesadilla
Chicken Quesadillia,Mike's Place,9.99,,N,N,Y,N,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Quesadilla
Chicken Tinga Quesadilla,La Cocina,7.5,800,N,N,Y,N,N,"halal chicken tinga, marinated black beans, pico de gallo, monterey jack cheese and sour cream on the side",N,N,Y,N,N,,N,Y,,1/15/2026,Quesadilla
Quinoa,Teraanga Commons Dining Hall,,45,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Quinoa
Ramen,Leo's Lounge,2,,N,N,,N,Y,,N,,N,N,,Y,N,Y,,9/26/2025,Ramen
Ramen Noodles,Teraanga Commons Dining Hall,,70,F,F,T,T,,,,N,,N,,,N,Y,,10/6/2025,Ramen
Aromatic Basmati Rice,Teraanga Commons Dining Hall,,120,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Rice
Coconut Jasmine Rice,Teraanga Commons Dining Hall,,190,T,T,T,T,,,N,N,,N,N,N,N,N,N,10/6/2025,Rice
White Rice,Teraanga Commons Dining Hall,,130,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Rice
