Food Category,ML Coverage,Calories,Percent Fruits and Vegetables,Percent Grain,Percent Dairy,Percent Protein,Fat_g,Carbs_g,Protein_g,Fiber_g,Sugar_g,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites
Quesadilla,,529,5,40,25,30,27.14,43.2,27,3.06,3.38,N,N,Y,,N,N,N,Y,N,N,,N,Y,
Quinoa,,222,0,100,0,0,3.55,39.4,8.14,5.18,1.61,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Ramen,,274,10,55,10,25,7.03,37.7,14.2,2.45,1.08,N,N,,,Y,,,,N,,Y,N,Y,
Rice,,205,0,100,0,0,0.405,44.772,4.28,2.132,0.107,Y,Y,Y,Y,,N,N,,N,N,N,N,N,N
Rice Bowl,,625,20,40,5,35,7.739,111.71,28.037,3.475,20.152,N,Y,,N,,N,N,,N,N,,N,N,
Salad With Protein,Don't bother,383,45,15,10,30,19,19.3,32.8,0,0,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,
Samosa,,310,35,45,10,10,17.5,33.2,5.14,1.8,1.28,,N,Y,,Y,,N,N,N,,N,,Y,
Sandwich,,590,20,40,30,10,9.788,82.44,43.18,5.666,12.894,N,N,,N,Y,,N,Y,N,,,N,Y,
Sandwich (No Protein),Don't bother,360,45,45,15,5,23,33,14,0,3,,N,Y,Y,N,,N,Y,N,,,N,Y,
Sauce,,66,25,40,30,5,2.12,9.81,1.84,2.38,6.48,,Y,,,,N,N,,N,,,N,N,
Sausage,,250,0,0,0,100,23.01,0.293,9.796,0,0.293,N,N,,N,Y,N,N,,N,,,N,,
Seaweed,,26,100,0,0,0,0.03,6.75,0.54,0.5,0.28,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N
Shawarma,,882,25,35,5,35,46,71.1,55,5.73,9,N,N,,N,Y,N,N,N,N,,N,N,Y,
Shepherd's Pie,,369,45,15,10,30,20,32.1,18,3.98,1.99,Y,N,Y,Y,,N,N,,N,N,,N,N,
Shrimp,,320,0,0,0,100,19,27,11,0,9.09,N,,N,N,Y,,Y,N,N,N,N,N,,Y
Soup,,169,75,10,10,5,3.99,26,7.01,8.08,6,,,,,,,,,N,,,N,N,
Sour Cream,,60,0,0,100,0,5.01,2,0.999,0,0.999,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
Spring Rolls,,270,80,20,0,0,14.1,30,5.62,2.3,5.63,,N,Y,Y,Y,N,N,N,,,N,,Y,
Square,,180,5,60,25,10,8,26,3,0,16,N,N,Y,Y,N,,N,Y,N,N,,N,,
Stew,,350,40,20,5,35,12.497,0,59.37,0,0,,,,,,,N,,N,,,N,,
Stir Fry,,450,100,0,0,0,18,60.99,12.73,17.77,22.38,Y,N,Y,Y,Y,N,N,N,N,,,N,N,
Sushi,,379,20,60,0,20,7.99,63.1,8.99,0,7.99,N,Y,N,N,Y,,,N,N,Y,,N,N,
Taco,,350,30,20,10,40,16.154,10.77,37.69,2.72,2.692,,,,,,N,N,,N,N,,N,Y,
Tart,,210,40,40,10,10,9.01,30,3,1.03,12,N,N,Y,Y,N,,Y,N,N,N,,N,Y,
Toast,,99.8,0,80,10,10,2,16,4,0,3,N,,,,,,N,N,N,N,,N,Y,
Tofu,,270,20,0,0,80,20.2,8.86,18.8,3.9,2.72,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N
Tomato,,25,100,0,0,0,0,5,1,0.968,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Vegetables,,68,100,0,0,0,0.494,12.8,3.16,3.8,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Veggie Pita,Don't bother,440,35,55,10,0,16,80,12,4,12,,N,Y,Y,,N,N,,N,,,N,Y,
Waffle,,245,0,80,10,10,14,27,2,0.315,16,N,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,
Wrap,,501,30,20,10,40,20,50.1,32.9,0,3.99,,N,N,N,,,N,,N,N,,N,Y,
Wrap (No Protein),Don't bother,440,35,55,10,0,16,80,12,4,12,,N,Y,Y,,,N,,N,N,,N,Y,
Zucchini,,20,100,0,0,0,0,4,0.997,1.04,3,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
